Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764305568,10,,Aggregated,8.300000,0.000000,6,8,9,9,9,10,11,13,26,26,26,271,0,6,6.324969560885588,1,26,78.43173431734317
1764305569,10,,Aggregated,8.300000,0.000000,6,8,9,9,9,10,11,13,26,26,26,278,0,6,6.355671769784184,1,26,78.37410071942446
1764305570,10,,Aggregated,8.400000,0.000000,6,8,9,9,9,10,11,13,26,26,26,284,0,6,6.371830112676081,1,26,78.6056338028169
1764305571,10,,Aggregated,8.200000,0.000000,6,8,9,9,9,10,11,13,26,26,26,294,0,6,6.320286006802752,1,26,78.65646258503402
1764305572,10,,Aggregated,8.000000,0.000000,6,8,9,9,9,10,11,13,26,26,26,301,0,6,6.349025621262502,1,26,78.89368770764119
1764305573,10,,Aggregated,8.000000,0.000000,6,8,9,9,9,10,11,13,26,26,26,308,0,6,6.328421139610443,1,26,78.82792207792208
1764305574,10,,Aggregated,7.900000,0.000000,6,8,9,9,9,10,11,13,26,26,26,316,0,6,6.3608733006329645,1,26,78.51582278481013
1764305575,10,,Aggregated,7.900000,0.000000,6,8,9,9,9,10,11,13,26,26,26,323,0,6,6.356057551083645,1,26,78.74303405572755
1764305576,10,,Aggregated,7.600000,0.000000,6,8,9,9,9,10,11,13,26,26,26,331,0,6,6.363270407855032,1,26,78.7129909365559
1764305577,10,,Aggregated,7.800000,0.000000,6,8,9,9,9,10,11,13,26,26,26,336,0,6,6.341898205357192,1,26,78.60416666666667
1764305578,10,,Aggregated,7.400000,0.000000,6,8,9,9,9,10,11,13,26,26,26,343,0,6,6.3696307230320794,1,26,78.81632653061224
1764305579,10,,Aggregated,7.400000,0.000000,6,8,9,9,9,10,11,13,26,26,26,354,0,6,6.37670057627118,1,26,79.13841807909604
1764305580,10,,Aggregated,7.200000,0.000000,6,8,9,9,9,10,11,13,26,26,26,364,0,6,6.363777024725283,1,26,79.41758241758242
1764305581,10,,Aggregated,7.400000,0.000000,6,8,9,9,9,10,11,13,26,26,26,372,0,6,6.3554349327957125,1,26,79.38172043010752
