Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/{id},1693,0,4,4.684776580035387,0,34.6980830000021,88.98523331364441,28.571768917091926,0.0,4,5,6,7,8,9,11,13,32,35,35
POST,/v1/products/{id}/details,213,0,5,5.053834300469424,1,17.057874999999,0.0,3.594676183898748,0.0,5,6,7,7,8,10,11,13,17,17,17
,Aggregated,1906,0,4,4.726019651626389,0,34.6980830000021,79.04092339979013,32.16644510099067,0.0,4,5,6,7,8,9,11,13,32,35,35
