Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/{id},1688,0,39,40.428067793246306,31,120.27883299999687,88.95497630331754,28.51565173838826,0.0,39,40,42,43,46,51,76,80,93,120,120
POST,/v1/products/{id}/details,190,0,39,40.60448816842106,31,81,0.0,3.209700136429958,0.0,39,42,43,43,47,50,75,81,81,81,81
,Aggregated,1878,0,39,40.44591649999989,31,120.27883299999687,79.95527156549521,31.725351874818216,0.0,39,41,42,43,46,51,76,80,93,120,120
