Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764305389,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764305390,2,,Aggregated,0.000000,0.000000,88,88,88,88,88,88,88,88,88,88,88,2,0,75.48654100000007,81.74327050000004,75.48654100000007,88,89.0
1764305391,4,,Aggregated,0.000000,0.000000,75,88,93,93,93,93,93,93,93,93,93,7,0,75,66.78354742857144,37,93,76.57142857142857
1764305392,6,,Aggregated,2.000000,0.000000,75,76,88,88,93,93,93,93,93,93,93,12,0,47,61.495517249999985,32,93,81.83333333333333
1764305393,8,,Aggregated,2.500000,0.000000,43,76,77,79,93,93,93,93,93,93,93,19,0,43,57.20169510526318,32,93,84.52631578947368
1764305394,10,,Aggregated,3.333333,0.000000,42,75,77,79,88,93,93,93,93,93,93,28,0,42,54.610648785714275,32,93,82.82142857142857
1764305395,12,,Aggregated,3.500000,0.000000,42,55,76,77,81,93,93,93,93,93,93,37,0,42,53.70367905405409,32,93,84.29729729729729
1764305396,14,,Aggregated,4.600000,0.000000,41,44,76,77,80,88,93,93,93,93,93,51,0,41,50.629616862745095,32,93,80.31372549019608
1764305397,16,,Aggregated,5.333333,0.000000,41,43,75,77,79,81,93,93,93,93,93,64,0,40,49.23093429687494,32,93,80.71875
1764305398,18,,Aggregated,5.857143,0.000000,40,42,47,76,79,80,93,93,93,93,93,81,0,40,48.121047358024626,32,93,80.24691358024691
1764305399,20,,Aggregated,6.750000,0.000000,40,42,46,75,79,87,93,93,93,93,93,100,0,40,47.35080627999992,32,93,80.13
1764305400,22,,Aggregated,7.666667,0.000000,40,42,46,55,79,84,89,93,93,93,93,114,0,40,47.187778166666575,32,93,80.45614035087719
1764305401,24,,Aggregated,8.300000,0.000000,40,42,45,48,77,81,89,93,93,93,93,136,0,40,46.44914831617638,32,93,78.58088235294117
1764305402,26,,Aggregated,10.300000,0.000000,40,42,44,47,77,80,88,93,93,93,93,158,0,39,45.81742724683535,32,93,78.32278481012658
1764305403,28,,Aggregated,11.500000,0.000000,39,41,44,46,77,79,88,93,93,93,93,184,0,39,45.141476467391215,32,93,78.85326086956522
1764305404,30,,Aggregated,13.200000,0.000000,39,41,43,45,76,79,87,89,93,93,93,210,0,39,44.716117676190386,32,93,79.68571428571428
1764305405,32,,Aggregated,15.200000,0.000000,39,42,43,45,76,79,87,89,93,93,93,231,0,39,44.569092004328944,32,93,78.97835497835497
1764305406,34,,Aggregated,16.600000,0.000000,39,42,43,45,76,79,87,91,93,93,93,257,0,39,44.39477919066142,32,93,79.64980544747081
1764305407,36,,Aggregated,18.400000,0.000000,39,41,43,45,75,79,87,91,93,93,93,292,0,39,44.0391384212328,32,93,79.89041095890411
1764305408,38,,Aggregated,19.900000,0.000000,39,41,43,45,75,79,86,89,93,93,93,320,0,39,43.725241678124924,32,93,79.871875
1764305409,40,,Aggregated,20.900000,0.000000,39,41,43,45,74,78,86,89,93,93,93,355,0,39,43.540197774647815,32,93,80.27042253521127
1764305410,42,,Aggregated,22.900000,0.000000,39,41,43,44,74,78,86,89,93,93,93,388,0,39,43.28158795876282,32,93,80.3298969072165
1764305411,44,,Aggregated,24.300000,0.000000,39,41,43,44,73,78,86,89,120,120,120,421,0,39,43.17809788598569,32,120.27883299999687,81.02375296912113
1764305412,46,,Aggregated,25.500000,0.000000,39,41,43,44,70,79,84,89,120,120,120,460,0,39,43.032119660869505,32,120.27883299999687,80.9
1764305413,48,,Aggregated,27.700000,0.000000,39,41,43,44,55,78,84,89,120,120,120,495,0,39,42.917255814141356,32,120.27883299999687,81.26666666666667
1764305414,50,,Aggregated,29.000000,0.000000,39,41,43,44,50,77,84,88,120,120,120,533,0,39,42.74087805440892,32,120.27883299999687,81.63977485928706
1764305415,50,,Aggregated,30.000000,0.000000,38,41,42,44,49,77,83,88,120,120,120,576,0,38,42.3408340572916,32,120.27883299999687,81.86111111111111
