Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/{id},379,0,38,39.017450071240276,31,95,89.10817941952507,6.401051742524176,0.0,38,39,40,41,44,47,72,78,95,95,95
POST,/v1/products/{id}/details,42,0,39,39.496636904761964,33,48.17083300000036,0.0,0.7093513804380354,0.0,39,41,42,44,45,45,48,48,48,48,48
,Aggregated,421,0,38,39.06525493349182,31,95,80.21852731591449,7.110403122962212,0.0,38,39,40,41,44,47,71,76,95,95,95
