Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764305356,10,,Aggregated,7.200000,0.000000,38,39,41,42,45,51,76,79,95,95,95,248,0,38,39.761610697580736,31,95,78.3225806451613
1764305357,10,,Aggregated,7.200000,0.000000,38,40,40,42,45,51,75,79,95,95,95,257,0,38,39.71488162645921,31,95,78.70428015564202
1764305358,10,,Aggregated,7.400000,0.000000,38,40,40,42,45,50,75,79,95,95,95,267,0,38,39.669071295880244,31,95,79.09737827715355
1764305359,10,,Aggregated,7.300000,0.000000,38,40,40,42,45,50,75,79,95,95,95,274,0,38,39.63789566058404,31,95,79.35766423357664
1764305360,10,,Aggregated,7.300000,0.000000,38,40,40,42,45,50,75,79,95,95,95,286,0,38,39.54619184965046,31,95,79.14685314685315
1764305361,10,,Aggregated,7.700000,0.000000,38,40,41,42,45,50,75,79,95,95,95,291,0,38,39.5188941649486,31,95,79.31615120274914
1764305362,10,,Aggregated,7.800000,0.000000,38,40,40,42,45,50,75,79,95,95,95,298,0,38,39.4619700570471,31,95,79.25167785234899
1764305363,10,,Aggregated,8.000000,0.000000,38,40,41,42,45,49,74,78,95,95,95,308,0,38,39.453455194805336,31,95,79.27922077922078
1764305364,10,,Aggregated,8.000000,0.000000,38,40,41,41,45,49,74,78,95,95,95,316,0,38,39.423499446202705,31,95,79.25
1764305365,10,,Aggregated,8.200000,0.000000,38,40,41,41,44,48,74,78,95,95,95,325,0,38,39.37388343384635,31,95,78.9723076923077
1764305366,10,,Aggregated,8.200000,0.000000,38,40,41,41,45,48,74,78,95,95,95,330,0,38,39.362476487879,31,95,79.12424242424242
1764305367,10,,Aggregated,8.100000,0.000000,38,40,41,41,44,48,74,78,95,95,95,339,0,38,39.33119822713883,31,95,79.38643067846607
1764305368,10,,Aggregated,8.200000,0.000000,38,40,41,41,44,48,74,78,95,95,95,346,0,38,39.3161615838152,31,95,79.58670520231213
1764305369,10,,Aggregated,8.000000,0.000000,38,40,41,41,44,48,72,78,95,95,95,354,0,38,39.29052128248604,31,95,79.545197740113
