Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/{id},3589,0,3,3.722116323488461,0,101.65162500000235,88.9478963499582,60.627848915214365,0.0,3,4,4,5,6,9,14,19,81,100,100
POST,/v1/products/{id}/details,416,0,3,4.438420966346261,0,121.63358400000135,0.0,7.027357244003671,0.0,3,4,5,5,7,10,17,20,120,120,120
,Aggregated,4005,0,3,3.796519002996282,0,121.63358400000135,79.70886392009987,67.65520615921804,0.0,3,4,4,5,6,9,14,19,81,120,120
